,company_name,position
1352,Oath Inc,4
378,CarGurus,4
628,Dyson,4
1879,TrueMotion,4
1286,New York City DEPARTMENT OF BUSINESS SERV.,4
2007,Warner Music Group,4
438,Cimpress/Vistaprint,4
1304,New York District Attorney's Office,4
1650,Siemens,4
614,DraftKings,4
1546,Retail Business Services,4
897,Honeywell,4
2025,West Monroe Partners,4
588,Dentsu Aegis Network,4
1887,Twitter,4
879,HelloFresh,4
2033,Willis Towers Watson,4
181,Atlantic Media,4
103,Allstate,4
1339,Novartis,4
573,Data+Math,4
1939,VTS3,3
874,Hearst,3
829,Gro Intelligence,3
1921,UnitedLex,3
1922,Univar Solutions,3
859,Harvard Pilgrim Health Care,3
857,Harvard Bioscience,3
853,Hachette Book Group,3
821,Grant Thornton,3
1924,University of Massachusetts Medical School,3
1933,VISITING NURSE SERVICE OF NEW YORK,3
848,HP HOOD,3
1559,Riskonnect Inc,3
1968,Via,3
508,Confidential,3
2031,William Blair & Company,3
572,Data Axxis,3
2043,Wolverine Trading,3
559,D&W Fine Pack,3
550,Current Opportunities,3
2047,"World Wide Technology, Inc.",3
530,Coyote Logistics,3
524,Corporate Settlement Solutions,3
507,Conduent,3
2014,WebMD,3
503,Conagra Brands,3
2065,ZX Ventures,3
2075,Zoro Tools,3
484,Columbia University Medical Center,3
465,Cloud and Things,3
458,Clear Street,3
2097,impakt Advisors,3
443,Cisco Careers,3
600,Disney Streaming Services,3
615,Draper,3
786,Gartner,3
681,ErisX,3
751,Forward Financing,3
747,Fooda,3
731,Financial Recovery Technologies,3
1984,VitalHealth Software,3
717,FanDuel,3
708,FCB Global,3
700,Exelon Corporation,3
693,Evive,3
679,Epsilon,3
617,Drivin,3
678,"Epiq Systems, Inc.",3
677,Envolve,3
883,HighTower Advisors,3
660,Embark Veterinary,3
650,Edelman,3
637,EPAM Systems,3
635,EF Educational Tours,3
2000,WW International (formerly Weight Watchers),3
882,Hewlett Packard Enterprise,3
1816,The Learning Corp,3
889,"HireWorks, LLC",3
1376,Options Group,3
1373,Optimove,3
1370,OptiFunder,3
1343,Nuveen,3
1641,"Shinetech Software, Inc.",3
1331,Northern Bank,3
1330,Northeastern University,3
1328,NorthShore University HealthSystem,3
1327,North American Corporation,3
1325,Noom US,3
1320,Nift Networks,3
1314,Nexamp,3
1313,Newsela,3
1297,New York City HRA/DEPT OF SOCIAL SERVICES,3
1651,"Sifos Technologies, Inc.",3
1288,New York City DEPARTMENT OF FINANCE,3
1283,New York City ADMIN FOR CHILDREN'S SVCS,3
1271,Netlan Technology,3
1266,Naval Nuclear Laboratory,3
1654,Simons Foundation,3
1253,NYSTEC,3
1657,"Sirius Computer Solutions, Inc.",3
1672,Sodexo Inc.,3
1679,Solstice,3
1633,SessionM,3
1627,"Sentinel Technologies, Inc.",3
895,Homesite Insurance,3
1393,PEAK6,3
1568,Ross Stores,3
1542,Reputation.com,3
1532,Regeneron,3
1519,Raps Consulting INC,3
1517,Randa Accessories,3
1505,"R2 Global, Inc",3
1499,Quartet Health,3
1496,Quanteam,3
1578,S&P Global,3
1491,Putnam Investments,3
1490,"Purolator International, Inc.",3
1579,S&P Global Ratings,3
1483,Publicis Health Media,3
1452,Plymouth Rock Assurance Corporation,3
1450,Pluralsight,3
1448,Plantek Consulting,3
1443,"Pinpoint Pharma, LLC",3
1437,Philips,3
1589,SFL Scientific,3
1607,Saggezza,3
1419,Peloton,3
1410,Park Place Technologies,3
1615,Sargent & Lundy,3
1240,NJOY,3
1236,"NEPC, LLC",3
1234,NDVR,3
1683,Source of Future Technology Inc,3
1045,Kirkland and Ellis,3
1035,Katalyst Healthcares & Life Sciences,3
1554,Rightpoint,3
1025,"KGS Technology Group, Inc.",3
1831,The Trevor Project,3
1020,KAYAK,3
1011,Johnson Controls,3
1844,Tiger Analytics,3
1867,Trial Courts of Massachusetts,3
1872,TripleLift,3
967,Integra Partners,3
964,Insulet Corporation,3
957,Innovest Systems LLC,3
1886,Twentieth Century Fox,3
939,Impresiv Health,3
938,Imagen Technologies,3
929,ISMIE Mutual Insurance Company,3
910,Hyatt Corporate Office,3
1911,Unified,3
904,HubSpot,3
903,Hub Group,3
901,Hospital for Special Surgery,3
896,"Honcker, Inc",3
1050,Komodo Health,3
1051,Kraft Heinz Company,3
1802,The Cervantes Group,3
1144,MasterCard,3
1224,Movable Ink,3
1697,Stanley Black & Decker,3
1202,Mize Houser and Company PA,3
1194,Mimecast,3
1192,Milliman,3
1171,Meetup,3
1719,Strivant Health,3
1157,"Mayer Brown, LLP",3
1149,Mattersight,3
1147,Mathematica Policy Research,3
1134,"Markley Lowell, LLC",3
1790,Tessella,3
1124,Macy's,3
1119,MLWIZ Team,3
1109,M&T Bank,3
1099,"Loomis, Sayles & Company, L.P.",3
1098,LogixHealth,3
1749,TDMK Digital,3
1092,Localytics,3
1091,LiveRamp,3
1786,Teq Inc,3
1787,Teqqi LLC,3
429,Chicago Public Schools,3
2106,www.dutchfarms.com,3
164,Archdiocese of Chicago,3
416,Cervello Inc,3
109,Altice USA,3
392,Casper,3
251,BlackRock,3
250,Black Diamond Therapeutics,3
398,Celect,3
16,A+E Networks,3
117,"Amazon Web Services, Inc.",3
242,Berlin Packaging LLC,3
226,Battelle,3
11,7AC Technologies Inc.,3
405,Cengage,3
406,Centene Corporation,3
211,BNP Paribas,3
206,BGC Partners,3
413,Centric Consulting,3
391,Caserta,3
389,"Carters, Inc",3
263,Blue Cross Blue Shield of Massachusetts,3
67,Acurity,3
354,"CRA, Inc.",3
347,CITIZENS BANK,3
360,CVS Health,3
341,CDPHP,3
363,Cambridge Associates LLC,3
65,Acumen Solutions,3
323,Businessolver,3
105,Alnylam,3
319,Burning Glass Technologies,3
308,Bristol-Myers Squibb,3
303,Bright Horizons Family Solutions,3
298,Brandwatch,3
86,AiCure,3
272,Bose Corporation,3
203,BDO,3
350,CMI/Compas,3
178,Astellas Pharmaceuticals,3
174,Aspen Technology,3
172,Ascensus,3
173,Aspen Dental,3
194,Away,2
953,Ingredion,2
294,Brad's Deals,2
946,InfoArmor Inc,2
1717,Streamline Healthcare,2
952,Infovie Inc,2
1712,Stock Rover,2
1715,"Strata Decision Technology, L.L.C.",2
1710,Sterling National Bank,2
1708,Steiner Electric Company,2
963,Instrumentation Laboratory,2
1703,"Starz Entertainment, LLC",2
942,Incapsulate,2
941,Incandescent Technologies,2
1701,Starr Companies,2
1725,Sun Life Financial,2
937,Illinois Policy Institute,2
1417,Paytronix Systems,2
1729,Swiss Re,2
1731,Sygma Technology Solutions,2
927,IQVIA,2
1737,Synechron,2
923,INTL FCStone,2
1412,PatientKeeper,2
304,Bright Power,2
1369,OppLoans,2
1753,TJX Corporate,2
900,Hospital IQ,2
290,Boston Women's Workforce Council,2
1700,Starcom,2
890,Hitachi Vantara,2
1017,Justworks,2
1356,Oliver Wyman,2
1046,Klaviyo,2
104,Ally Financial Inc.,2
1645,ShopRunner,2
1358,Olmstead Associates,2
1038,KeHE Distributors,2
101,Alliant Credit Union,2
1030,"KMR Information Systems, Inc.",2
1656,Sinai Health System,2
1026,KIK Custom Products,2
1024,KGS Technology Group Inc,2
1662,Slalom Consulting,2
1019,"KAR Auction Services, Inc.",2
1663,Slice,2
1015,Jump Trading,2
287,Boston Technology corporation,2
1669,SnaKORPIO GROUP.,2
1671,Société Générale,2
1006,Jenzabar,2
1003,Jacobs,2
994,J.Jill,2
91,Alchemy Software Solutions,2
991,"Ithaka Harbors, Inc",2
1685,Spark Foundry,2
987,Invitae,2
986,Invicro,2
1362,OneBeacon Insurance Group,2
1692,Sprout Social,2
1693,Spy Pond Partners,2
1695,Staffing Solutions Organization LLC,2
316,Bunge,2
885,Highland Math,2
1765,Talbots,2
759,Franciscan Health,2
60,Acorio,2
789,General Assembly,2
343,"CGI Group, Inc.",2
775,GE Transportation,2
1858,TransPerfect,2
772,G2 Capital Advisors,2
771,G-III Apparel Group,2
1860,Transfix.io,2
1863,Tri-County Care,2
765,Friendly Consultants,2
764,Fresh Thyme Farmers Market,2
1866,TriNetX Inc,2
760,Free People,2
757,Framework Communications,2
1401,PUMA,2
54,Acadian Asset,2
754,Fox Corporation,2
345,CIBC,2
346,CIC,2
53,Acacia Technical Services,2
1386,Overseas Adventure Travel,2
1397,PRA Health Sciences,2
745,Flywire,2
744,Flow Software Inc.,2
741,Flatiron Health,2
740,Flare Jewelry,2
1878,TrueChoice Solutions,2
1884,Tufts Medical Center,2
1840,Thomson Reuters,2
797,Ginkgo Bioworks,2
1056,LAZ Parking,2
837,Guidepoint,2
1768,Tapad,2
318,Burger King | Carrols Corporation,2
1770,Teach For America,2
320,Burns & McDonnell,2
1774,"Technomic, Inc.",2
1783,Tellic LLC,2
1372,Optimatum Group LLC,2
864,Haven Life,2
863,Havas Edge,2
856,Hartford Steam Boiler,2
1793,Teza Technologies,2
1795,The Art Institute of Chicago,2
845,HERE Technologies,2
836,Guaranteed Rate,2
1382,Oscar Insurance,2
1808,The Estée Lauder Companies,2
1813,The ICA Group,2
337,CCC Information Services Inc.,2
819,Granite Construction Inc,2
818,Grandview Analytics,2
1408,Panjiva,2
1822,The NPD Group,2
816,Grainger,2
814,Gorilla Group,2
1825,The Noodle Companies,2
808,Gogo Commercial Aviation,2
63,ActiveCampaign,2
1835,The Whiting-Turner Contracting Company,2
1636,SharkNinja,2
1058,LPL Financial,2
195,Azara Healthcare,2
141,Anixter,2
1241,NOKIA,2
1502,R.R. Donnelley & Sons Company,2
1504,R2 Commerce,2
1237,NEW AGE SOFTWARE SERVICES CORP.,2
215,BTech Group,2
139,Anheuser-Busch,2
1506,RAPP,2
1233,NCH Marketing Services,2
219,Baker Tilly Virchow Krause,2
1319,Nift,2
189,Averity,2
1512,RL Canning,2
1223,Mount Sinai,2
1516,Ralph Lauren,2
135,Analogic,2
1215,Moody's Analytics,2
224,Barrington James,2
1211,"MoneyLion, Inc",2
1524,Recorded Future,2
1209,Molina Healthcare,2
1321,Ninestone Corporation,2
1447,Planaxis | Groupaxis,2
1207,Mola Group,2
1527,RedMane Technology,2
1528,Redbox,2
1529,Redfin Group,2
1200,Mitre Corporation,2
1531,Referral 2U Job Board for Trilogy,2
229,Bayser Consulting,2
1498,Quantlab,2
1247,NTT DATA Services,2
1060,LaBella Associates,2
1248,NYC Campaign Finance,2
196,Azzur Group,2
1459,Precima,2
1462,Precision For Value,2
197,BACloudSystems,2
1465,Prescribe Wellness LLC,2
1466,Presence Health,2
1306,New York Media LLC,2
199,BAI Online,2
1291,New York City DEPT OF ENVIRONMENT PROTECTION,2
1290,New York City DEPT OF DESIGN & CONSTRUCTION,2
1467,Prestige Staffing,2
1469,Primary Search Management,2
1311,New York eHealth Collaborative,2
1476,Progress Software Corporation,2
1276,Neuberger Berman,2
1275,Networked Insights,2
1479,Provisur Technologies,2
1273,Network Objects,2
1481,Public Goods,2
1269,Net at Work,2
1267,"Navistar, Inc.",2
1484,Publicis Spine,2
1485,Publicis.Sapient,2
192,Avionos,2
1263,National General Insurance,2
1262,National Football League,2
191,Avigilon,2
209,BMC HealthNet Plan,2
190,Avid Technology,2
1536,Relayr,2
1538,Rent the Runway,2
131,Amobee,2
1545,Resource Systems Group Inc.,2
1593,SIRVA,2
1114,MFS Investment Management,2
1113,MDA - Muscular Dystrophy Association,2
1111,MAG USA,2
1108,Lyons Hathaway,2
1107,Lynn Community Health Center,2
1600,"SPINS, LLC",2
1101,Lowell Community Health Center,2
1604,SSG,2
1605,STATS,2
256,"Blistex, Inc.",2
729,Fidelis Care,2
1432,PerkinElmer,2
1610,Sandhill Investment Management,2
1089,Littelfuse,2
1087,LiniumTalentAcquistion,2
1086,Lincoln Park Zoological Society,2
260,Blue Apron,2
1430,Peri Formwork Systems - USA,2
1618,Schneider Electric,2
1429,"Performance Trust Capital Partners, LLC",2
1077,Lenox Executive Search,2
1623,Securus Technologies,2
107,Altarum,2
1066,Laundrylux,2
1353,"Odyssey Systems Consulting Group, Ltd",2
1063,LanzaTech,2
1062,"Lantheus Medical Imaging, Inc.",2
1422,Penguin Random House LLC,2
1116,MICHAEL J FOX FOUNDA,2
176,Assurant,2
1433,Persado,2
239,Berkshire Grey,2
1181,MetroPlus Health Plan,2
1552,Right Choice Resources,2
1173,Memorial Sloan Kettering,2
1555,Rimini Street,2
233,Behold.ai,2
234,BenchPrep,2
1557,"Risk Placement Services, Inc",2
124,American Arbitration Association,2
1165,MedTouch,2
1563,Rockstar New York,2
1159,McCann Complete Medical,2
1156,Maya Technologies Inc,2
1150,Maven Wave Partners,2
240,Berkshire Hathaway Specialty Insurance,2
1120,MUFG,2
241,BerlandTeam,2
186,"Attorney General, Office of the",2
1142,Massachusetts Eye and Ear Infirmary,2
1575,"Ryan Specialty Group, LLC",2
245,Bevi,2
119,Ameresco,2
1336,Northwestern Mutual Life Insurance Company,2
1135,Mars,2
1130,Managed By Q,2
1586,SBLI,2
1587,SCOR,2
1123,Macmillan Learning,2
1340,NuSources,2
258,Blommer Chocolate Company,2
306,Brilliant Infotech Inc.,2
2001,Wabtec,2
480,Collage.com,2
2073,Zoom Information Inc.,2
538,Credit Ninja,2
1971,Vicor Corporation,2
477,Cognizant,2
670,Enova International,2
478,Cogo Labs,2
534,Crawford & Company,2
2071,Zoll Medical Corporation,2
475,Cogito Corporation,2
2070,Zocdoc,2
618,Drizly,2
1969,ViaVan,2
2035,Winsight LLC,2
35,AIRINC,2
623,Dunn Solutions Group,2
382,"Cardinal Intellectual Property, Inc",2
539,Cresa,2
384,Care/of,2
399,"Cell Signaling Technology, Inc",2
366,Cambridge Mobile Telematics,2
39,APPS Paramedical,2
545,Crowe,2
1978,Virgin Pulse,2
459,ClearMotion,2
460,Clearcover,2
544,CrowdTwist,2
462,ClinEdge,2
464,Clinical Solutions Group,2
368,Camp4 Therapeutics Corporation,2
37,AMS Practice Management,2
4,1stdibs.com,2
386,Carrier,2
675,Environmental Group Services,2
2079,bluebird bio,2
2029,Whitecap Search,2
385,CareDash,2
33,AIG,2
658,Ellis Hospital,2
412,Central Hudson Gas & Electric Corporation,2
636,EMD,2
509,Connatix,2
372,CapTech Consulting,2
12,7Park Data,2
2052,XR Trading LLC,2
2044,Women's World Banking,2
511,"Constellation Pharmaceuticals, Inc.",2
647,Eataly North America,2
1948,Vantage Deluxe Travel,2
1963,Versant Health,2
1955,Velir,2
1949,Vantiv,2
639,EQUINOX,2
1951,Variyas Global Solutions Inc.,2
514,Contentful,2
519,Copyright Clearance Center,2
2049,Worldpay,2
506,Conductor,2
634,EDSI,2
1958,Venture backed ad tech company,2
1943,Vaisala,2
1940,Vaco,2
411,Centers Plan for Healthy Living,2
31,AHA - AMERICAN HOSPITAL ASSOCIATION,2
1942,"Vail Systems, Inc.",2
654,Efficio Consulting,2
2058,Yewno,2
32,AHA American Hospital Association,2
2003,Wallace Associates,2
498,Compass Lexecon,2
2057,Yesway,2
2040,Wipro LTD,2
2056,Yello,2
653,Edsal Manufacturing,2
408,Center for Policing Equity,2
407,Center For Health Information And Analysis,2
682,Essence,2
1925,University of Rochester,2
1904,USG,2
1908,UncommonGoods,2
2006,Warner Bros Careers,2
356,CSTechnology,2
1996,WE Communications,2
706,Eze Software Group,2
567,DVG Interactive,2
704,Exponent,2
590,Deutsche Börse,2
703,Experian,2
564,DRW,2
2011,Waystar,2
699,Exegistics,2
18,A123 Systems,2
442,Circulation Inc.,2
422,Charles Schwab,2
444,Cisco Meraki,2
713,FRESENIUS,2
396,Cayuga Health System,2
1896,UL,2
431,Chicago Teachers Pension Fund,2
2105,viagogo,2
579,DePaul University,2
723,Federal Reserve Bank of Boston,2
2104,the NBA,2
1999,WSP USA,2
1891,"U.S. District Court, Eastern District of New York",2
582,Delaware North,2
47,AWI Technology Website;AWI Engineering Website,2
1893,UBMD Pediatrics,2
2005,Wargaming,2
395,Catchpoint,2
1894,UBS,2
353,COTA,2
432,Chicago Trading Company (CTC),2
446,Cisive,2
516,Conversant Media,2
450,City Year,2
43,AT&T,2
555,Cyber Tech Group,2
2018,Webster Consulting Group,2
2091,exp,2
421,Charles River Laboratories,2
452,Cityblock Health,2
1912,Unified Enterprise Corp,2
24,ACLU,2
451,City of Chicago,2
1599,SP+,1
1533,Regis College,1
2041,Wiverse,1
1603,SSA & Company,1
2038,Wintrust Financial Corporation,1
133,Amplicare,1
20,AAOS,1
1602,SS&C Technologies,1
1537,Renascent Biosciences,1
1584,SAP,1
2039,Wintrust Wealth Management,1
1534,Regis Technologies,1
132,Amphenol Oil & Gas Technologies,1
114,Amazon Advertising LLC,1
1598,SOMETHING DIGITAL,1
2042,Wolters Kluwer,1
2026,Wheels Up,1
1601,"SRC, Inc.",1
121,American Academy of Dermatology,1
2017,Webhelp IT,1
1583,SAI Global,1
1526,Red River Computer Co.,1
1609,Samsung Research America,1
2019,WegoWise,1
2046,Workiva Inc.,1
1582,SAC Wireless,1
112,Amalgamated Bank of NY,1
2020,Weill Cornell Medicine,1
1525,"Red Hat, Inc.",1
2004,Warehouse Direct Workplace Solutions,1
120,AmeriCorps,1
113,Amazon,1
1576,S & C Electric Company,1
1540,Reorg Research,1
2045,WorkFusion,1
1606,Safe Banking Systems Software,1
2021,Well,1
2022,Wellist,1
2023,Wellthie,1
1574,Ryan Specialty Group,1
134,Analgesic Solutions,1
2024,Welltok,1
1573,RxMx Inc.,1
15,"A Distributors, inc.",1
2037,Wintrust Bank,1
1596,SMS Assist,1
1541,Repsly,1
1591,SHYFT,1
13,84.51°,1
2032,Williams Lea,1
2048,Worldgroup Careers MWT,1
1556,Rise Interactive,1
14,90min.com,1
2030,Wholesale Interiors,1
1592,SILICON CONSULTING SERVICES,1
1558,Riskified,1
2013,Weaver Consultants Group,1
17,"A.N. Deringer, Inc.",1
1590,SGS,1
2008,Watts Water Technologies,1
2015,Webcheckout,1
116,Amazon Services LLC,1
1560,Riskonnect Inc.,1
2027,"Wheels, Inc.",1
1561,Robert Derector Energy & Sustainability (RDE),1
1562,Rockerbox,1
1588,SEMA4,1
1564,Rohrer,1
1566,Roosevelt University,1
2028,White Ops,1
1567,Ropes & Gray,1
125,American Association of Nurse Anesthetists,1
1553,RightHand Robotics,1
19,A123 Systems LLC,1
1565,Roku,1
1595,SMITH,1
129,American Society of Anesthesiologists,1
122,American Academy of Orthopaedic Surgeons,1
1543,"Reserve Advisors, Inc.",1
1570,Rubicon Project,1
1544,Resolve Tech Solutions,1
1569,Royal Communications Consultants,1
1594,SKT Technologies Inc,1
123,American Access Casualty Company,1
2036,Winston & Strawn LLP,1
127,American Jewish Committee,1
1585,SAS Retail Services,1
1547,Reverb,1
2009,Wavicle Data Solutions LLC,1
1548,Revlon,1
1549,Reynen Court LLC,1
1550,RiVi Consulting Group,1
1551,Riddell,1
1580,S2N Health,1
2034,Wilson Sporting Goods,1
1581,S3 Consulting Services Inc.,1
48,Abacus Insights,1
1523,Ready Computing,1
1436,Pharmerit International,1
1442,Pinnacle Solutions Inc,1
1441,PillPack,1
1440,"PhysIQ, Inc.",1
1439,Phreesia,1
155,Applecart,1
156,Applied Industrial Technologies,1
157,Aptima,1
1444,Piper Jaffray,1
1434,Perspecta,1
2092,ezCater,1
1431,PerkSpot,1
2093,hoytNIVA,1
1428,"Performance Systems Development, LLC",1
1427,Perceptive Automata,1
154,Apple,1
2090,enableit,1
1456,PowerNotes,1
2085,eXcell,1
1454,"Polis, Inc.",1
2084,eLogic LLC,1
1453,Pod1,1
151,Appcues,1
1451,Pluris Marketing,1
152,Appirio,1
2086,edX,1
1445,Piping Rock Health Products,1
3,1199SEIU Family of Funds,1
2088,emids,1
1449,Plastiq,1
153,Applause,1
2089,enableIT,1
1446,PlacePass,1
158,"Aquanima, a Santander Company",1
1425,People's United Bank,1
1424,"People Against Dirty Manufacturing, PBC",1
1404,Palantir Technologies,1
161,Arbella Insurance Group,1
2102,rjoseph@westmillit.com,1
1409,Paperless Post,1
1407,Pangea Real Estate,1
1406,Panasonic North America,1
1405,Palo Alto Networks,1
1403,Packback Inc.,1
1423,Penn Foster,1
1402,Pace Bus,1
2103,sparks & honey,1
162,"Arbor Realty Trust, Inc.",1
1399,PSEG,1
1398,PS Business Solutions,1
1396,PPD,1
2101,okyte Inc,1
2100,o'brien & gere engineers,1
160,Aramark,1
2099,mParticle,1
2098,inMarket,1
2,10th Magnitude,1
1413,PatientPing,1
1414,Paychex Inc.,1
1415,Paylocity,1
1416,Paypal,1
2096,iSeeCars.com,1
2095,iManage.com,1
1418,Pearson,1
159,Aqueduct Technologies Inc.,1
1420,Pembroke Loss Prevention,1
2094,"iHeartMedia, Inc.",1
1421,Pencom Systems Incorporated,1
1455,PowerMarket,1
1457,PowerReviews,1
1522,Readcoor,1
1495,QuaEra,1
1500,Quick Base,1
140,Animoto,1
9,4C Insights,1
2060,YouTube,1
2061,Youth Guidance,1
142,Anju Software,1
2062,Yusen Logistics (Americas) Inc,1
2055,YMCA of Greater New York,1
1494,QLB Biotherapeutics,1
1493,QIAGEN,1
143,Anker Innovations,1
145,Anova Financial Networks,1
146,Ansira,1
1489,PureTech Health,1
1503,R1 RCM Inc.,1
2054,YCharts,1
2083,eClerx LLC,1
1515,RadNet,1
2050,Wunderman,1
10,605,1
1520,Rauxa,1
136,Analysis Group,1
1518,Rapidsoft Technologies,1
137,Analytic Partners,1
138,Andela,1
2053,YAVLI,1
1513,RPX,1
1511,RGBSI,1
1510,RGA,1
1509,REsurety,1
1508,RB Health,1
1507,RAY ALLEN Inc,1
1488,Pure Incubation,1
1487,Purdue University,1
